Dealer_Up,Drawn_Cards,Num_of_Hits,Did_YOU_Win
Queen of Diamonds,"['Queen of Diamonds', '2 of Hearts', '10 of Clubs', 'Ace of Diamonds', '2 of Clubs', 'Ace of Clubs', '5 of Hearts', '10 of Hearts', '7 of Hearts', 'Jack of Clubs', '4 of Clubs']",2,True
Queen of Diamonds,"['Queen of Diamonds', '2 of Hearts', '10 of Clubs', 'Ace of Diamonds', '2 of Clubs', 'Ace of Clubs', '5 of Hearts', '10 of Hearts', '7 of Hearts', 'Jack of Clubs', '4 of Clubs', '3 of Spades', '6 of Diamonds']",2,False
Queen of Diamonds,"['Queen of Diamonds', '2 of Hearts', '10 of Clubs', 'Ace of Diamonds', '2 of Clubs', 'Ace of Clubs', '5 of Hearts', '10 of Hearts', '7 of Hearts', 'Jack of Clubs', '4 of Clubs', '3 of Spades', '6 of Diamonds', 'Jack of Diamonds', '7 of Spades']",0,False
Queen of Diamonds,"['Queen of Diamonds', '2 of Hearts', '10 of Clubs', 'Ace of Diamonds', '2 of Clubs', 'Ace of Clubs', '5 of Hearts', '10 of Hearts', '7 of Hearts', 'Jack of Clubs', '4 of Clubs', '3 of Spades', '6 of Diamonds', 'Jack of Diamonds', '7 of Spades']",0,False
Queen of Diamonds,"['Queen of Diamonds', '2 of Hearts', '10 of Clubs', 'Ace of Diamonds', '2 of Clubs', 'Ace of Clubs', '5 of Hearts', '10 of Hearts', '7 of Hearts', 'Jack of Clubs', '4 of Clubs', '3 of Spades', '6 of Diamonds', 'Jack of Diamonds', '7 of Spades']",0,False
7 of Diamonds,"['7 of Diamonds', '5 of Spades', '10 of Clubs', 'Ace of Spades', 'Jack of Hearts', 'King of Spades', 'Jack of Clubs', '3 of Hearts', '5 of Diamonds', 'Queen of Spades', '8 of Spades']",3,False
7 of Diamonds,"['7 of Diamonds', '5 of Spades', '10 of Clubs', 'Ace of Spades', 'Jack of Hearts', 'King of Spades', 'Jack of Clubs', '3 of Hearts', '5 of Diamonds', 'Queen of Spades', '8 of Spades', '2 of Hearts']",3,True
7 of Diamonds,"['7 of Diamonds', '5 of Spades', '10 of Clubs', 'Ace of Spades', 'Jack of Hearts', 'King of Spades', 'Jack of Clubs', '3 of Hearts', '5 of Diamonds', 'Queen of Spades', '8 of Spades', '2 of Hearts', 'King of Hearts']",0,False
7 of Diamonds,"['7 of Diamonds', '5 of Spades', '10 of Clubs', 'Ace of Spades', 'Jack of Hearts', 'King of Spades', 'Jack of Clubs', '3 of Hearts', '5 of Diamonds', 'Queen of Spades', '8 of Spades', '2 of Hearts', 'King of Hearts']",0,False
7 of Diamonds,"['7 of Diamonds', '5 of Spades', '10 of Clubs', 'Ace of Spades', 'Jack of Hearts', 'King of Spades', 'Jack of Clubs', '3 of Hearts', '5 of Diamonds', 'Queen of Spades', '8 of Spades', '2 of Hearts', 'King of Hearts']",0,False
5 of Clubs,"['5 of Clubs', '2 of Hearts', 'Queen of Spades', '4 of Hearts', 'King of Diamonds', '7 of Spades', '8 of Clubs', '8 of Hearts', '7 of Clubs', '9 of Spades', 'King of Spades']",4,False
5 of Clubs,"['5 of Clubs', '2 of Hearts', 'Queen of Spades', '4 of Hearts', 'King of Diamonds', '7 of Spades', '8 of Clubs', '8 of Hearts', '7 of Clubs', '9 of Spades', 'King of Spades', '6 of Diamonds']",3,False
5 of Clubs,"['5 of Clubs', '2 of Hearts', 'Queen of Spades', '4 of Hearts', 'King of Diamonds', '7 of Spades', '8 of Clubs', '8 of Hearts', '7 of Clubs', '9 of Spades', 'King of Spades', '6 of Diamonds']",0,False
5 of Clubs,"['5 of Clubs', '2 of Hearts', 'Queen of Spades', '4 of Hearts', 'King of Diamonds', '7 of Spades', '8 of Clubs', '8 of Hearts', '7 of Clubs', '9 of Spades', 'King of Spades', '6 of Diamonds']",0,False
5 of Clubs,"['5 of Clubs', '2 of Hearts', 'Queen of Spades', '4 of Hearts', 'King of Diamonds', '7 of Spades', '8 of Clubs', '8 of Hearts', '7 of Clubs', '9 of Spades', 'King of Spades', '6 of Diamonds']",0,False
5 of Diamonds,"['5 of Diamonds', '5 of Clubs', 'Queen of Hearts', '8 of Hearts', '7 of Clubs', '4 of Hearts', '10 of Clubs', 'King of Clubs', 'King of Hearts', '6 of Clubs', '6 of Spades']",6,False
5 of Diamonds,"['5 of Diamonds', '5 of Clubs', 'Queen of Hearts', '8 of Hearts', '7 of Clubs', '4 of Hearts', '10 of Clubs', 'King of Clubs', 'King of Hearts', '6 of Clubs', '6 of Spades', 'Ace of Hearts', '9 of Clubs']",3,True
5 of Diamonds,"['5 of Diamonds', '5 of Clubs', 'Queen of Hearts', '8 of Hearts', '7 of Clubs', '4 of Hearts', '10 of Clubs', 'King of Clubs', 'King of Hearts', '6 of Clubs', '6 of Spades', 'Ace of Hearts', '9 of Clubs']",0,True
5 of Diamonds,"['5 of Diamonds', '5 of Clubs', 'Queen of Hearts', '8 of Hearts', '7 of Clubs', '4 of Hearts', '10 of Clubs', 'King of Clubs', 'King of Hearts', '6 of Clubs', '6 of Spades', 'Ace of Hearts', '9 of Clubs']",1,True
5 of Diamonds,"['5 of Diamonds', '5 of Clubs', 'Queen of Hearts', '8 of Hearts', '7 of Clubs', '4 of Hearts', '10 of Clubs', 'King of Clubs', 'King of Hearts', '6 of Clubs', '6 of Spades', 'Ace of Hearts', '9 of Clubs', 'Jack of Diamonds']",0,True
8 of Spades,"['8 of Spades', '7 of Hearts', 'Ace of Diamonds', 'Jack of Clubs', '9 of Diamonds', '2 of Diamonds', '5 of Spades', '6 of Spades', '9 of Clubs', 'King of Spades', '6 of Hearts']",9,True
8 of Spades,"['8 of Spades', '7 of Hearts', 'Ace of Diamonds', 'Jack of Clubs', '9 of Diamonds', '2 of Diamonds', '5 of Spades', '6 of Spades', '9 of Clubs', 'King of Spades', '6 of Hearts', '5 of Hearts', 'Ace of Spades', '6 of Clubs']",3,True
8 of Spades,"['8 of Spades', '7 of Hearts', 'Ace of Diamonds', 'Jack of Clubs', '9 of Diamonds', '2 of Diamonds', '5 of Spades', '6 of Spades', '9 of Clubs', 'King of Spades', '6 of Hearts', '5 of Hearts', 'Ace of Spades', '6 of Clubs']",0,False
8 of Spades,"['8 of Spades', '7 of Hearts', 'Ace of Diamonds', 'Jack of Clubs', '9 of Diamonds', '2 of Diamonds', '5 of Spades', '6 of Spades', '9 of Clubs', 'King of Spades', '6 of Hearts', '5 of Hearts', 'Ace of Spades', '6 of Clubs']",2,False
8 of Spades,"['8 of Spades', '7 of Hearts', 'Ace of Diamonds', 'Jack of Clubs', '9 of Diamonds', '2 of Diamonds', '5 of Spades', '6 of Spades', '9 of Clubs', 'King of Spades', '6 of Hearts', '5 of Hearts', 'Ace of Spades', '6 of Clubs', '2 of Clubs']",0,False
